Name,Team,Position(s),MP,Box Offense,Box Defense,Box Total,OnOff Offense,OnOff Defense,OnOff Total,RAPTOR Offense,RAPTOR Defense,RAPTOR Total,RAPTOR WAR
Nikola Jokic,Nuggets,C,757,+8.6,+3.8,+12.4,+6.8,+5.9,+12.7,+8.7,+4.5,+13.2,6.2
Stephen Curry,Warriors,PG,927,+6.9,0.0,+6.9,+7.3,+5.1,+12.4,+7.4,+1.0,+8.4,5.4
Giannis Antetokounmpo,Bucks,"SF, PF",849,+4.7,+3.1,+7.8,+4.0,+4.8,+8.9,+4.8,+3.6,+8.4,4.9
Rudy Gobert,Jazz,C,849,+0.1,+8.3,+8.4,+2.0,+0.8,+2.8,+0.4,+7.2,+7.6,4.5
Kevin Durant,Nets,PF,"1,000",+4.9,-0.6,+4.3,+6.3,+2.1,+8.5,+5.5,-0.1,+5.4,4.2
Fred VanVleet,Raptors,SG,"1,027",+3.0,+0.4,+3.4,+3.3,+8.0,+11.3,+3.2,+2.0,+5.2,4.2
John Collins,Hawks,"PF, C",906,+2.5,+2.4,+4.9,+7.4,+0.5,+8.0,+3.6,+2.2,+5.8,3.9
Jayson Tatum,Celtics,SF,"1,017",+3.1,+0.8,+3.9,+3.2,+2.8,+6.0,+3.4,+1.3,+4.6,3.8
Jarrett Allen,Cavaliers,C,884,+0.5,+4.1,+4.6,+1.9,+3.0,+4.9,+0.8,+4.0,+4.8,3.4
Alex Caruso,Bulls,"PG, SG",685,+1.6,+5.0,+6.6,+1.8,+5.2,+7.0,+1.7,+5.4,+7.1,3.4
Domantas Sabonis,Pacers,"PF, C","1,057",+1.8,+1.5,+3.3,+0.1,+3.5,+3.6,+1.6,+2.0,+3.5,3.4
LaMelo Ball,Hornets,"PG, SG",799,+4.2,+1.2,+5.4,+2.4,+0.8,+3.2,+4.0,+1.3,+5.2,3.3
Mikal Bridges,Suns,"SG, SF, PF",963,-0.4,+2.4,+2.0,+8.2,+0.8,+8.9,+1.4,+2.2,+3.5,3.1
Donovan Mitchell,Jazz,"PG, SG",842,+5.3,-1.4,+3.9,+6.3,+0.1,+6.4,+5.6,-1.2,+4.4,3.1
Derrick Rose,Knicks,"PG, SG",636,+3.3,+2.2,+5.5,+2.5,+8.3,+10.7,+3.3,+3.6,+7.0,3.1
